label,R,G,B,Description
0,255,162,143,Background
1,150,117,148,UR8/LL8
2,170,255,255,UR7/LL7
3,255,0,127,UR6/LL6
4,170,255,127,UR5/LL5
5,0,0,127,UR4/LL4
6,255,255,127,UR3/LL3
7,255,170,255,UR2/LL2
8,255,255,255,UR1/LL1
9,77,99,82,UL1/LR1
10,255,0,255,UL2/LR2
11,255,255,0,UL3/LR3
12,0,0,255,UL4/LR4
13,0,255,0,UL5/LR5
14,255,0,0,UL6/LR6
15,0,255,255,UL7/LR7
16,202,200,232,UL8/LR8
17,68,114,196,URE/LLE
18,255,80,80,URD/LLD
19,0,51,0,URC/LLC
20,102,102,255,URB/LLB
21,204,204,0,URA/LLA
22,102,0,51,ULA/LRA
23,231,232,228,ULB/LRB
24,95,95,95,ULC/LRC
25,102,0,204,ULD/LRD
26,255,153,0,ULE/LRE
